machine_sk,machine_id,line_sk,machine_model_sk,machine_type_code,machine_sequence,serial_number,installation_date,rated_capacity,capacity_uom,operating_temperature_min_c,operating_temperature_max_c,criticality,status,effective_from,effective_to,is_current
"18","CHN-L01-PAL01","","17","PAL","1","SN-CHN-PAL-01-0018","2021-12-14","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"19","CHN-L02-CNC01","","1","CNC","1","SN-CHN-CNC-01-0019","2020-07-25","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"20","CHN-L02-CNC02","","2","CNC","2","SN-CHN-CNC-02-0020","2019-02-12","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"21","CHN-L02-CNC03","","1","CNC","3","SN-CHN-CNC-03-0021","2023-09-24","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"22","CHN-L02-CNC04","","2","CNC","4","SN-CHN-CNC-04-0022","2022-04-11","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"23","CHN-L02-HPR01","","3","HPR","1","SN-CHN-HPR-01-0023","2021-11-19","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"24","CHN-L02-HPR02","","4","HPR","2","SN-CHN-HPR-02-0024","2020-06-06","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"25","CHN-L02-ROB01","","5","ROB","1","SN-CHN-ROB-01-0025","2019-01-16","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"26","CHN-L02-ROB02","","6","ROB","2","SN-CHN-ROB-02-0026","2023-08-03","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"27","CHN-L02-ROB03","","5","ROB","3","SN-CHN-ROB-03-0027","2022-03-15","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"28","CHN-L02-CON01","","7","CON","1","SN-CHN-CON-01-0028","2021-10-24","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"29","CHN-L02-CON02","","8","CON","2","SN-CHN-CON-02-0029","2020-05-11","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"30","CHN-L02-CON03","","7","CON","3","SN-CHN-CON-03-0030","2019-12-23","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"31","CHN-L02-CMP01","","9","CMP","1","SN-CHN-CMP-01-0031","2023-07-07","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"32","CHN-L02-CMP02","","10","CMP","2","SN-CHN-CMP-02-0032","2022-02-19","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"33","CHN-L02-FRN01","","11","FRN","1","SN-CHN-FRN-01-0033","2021-09-04","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"34","CHN-L02-INS01","","13","INS","1","SN-CHN-INS-01-0034","2020-04-15","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"35","CHN-L02-PKG01","","15","PKG","1","SN-CHN-PKG-01-0035","2019-11-01","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"36","CHN-L02-PAL01","","17","PAL","1","SN-CHN-PAL-01-0036","2023-06-12","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"37","CHN-L03-CNC01","","1","CNC","1","SN-CHN-CNC-01-0037","2022-01-23","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"38","CHN-L03-CNC02","","2","CNC","2","SN-CHN-CNC-02-0038","2021-08-10","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"39","CHN-L03-CNC03","","1","CNC","3","SN-CHN-CNC-03-0039","2020-03-22","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"40","CHN-L03-CNC04","","2","CNC","4","SN-CHN-CNC-04-0040","2019-10-09","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"41","CHN-L03-HPR01","","3","HPR","1","SN-CHN-HPR-01-0041","2023-05-17","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"42","CHN-L03-HPR02","","4","HPR","2","SN-CHN-HPR-02-0042","2022-12-04","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"43","CHN-L03-ROB01","","5","ROB","1","SN-CHN-ROB-01-0043","2021-07-14","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"44","CHN-L03-ROB02","","6","ROB","2","SN-CHN-ROB-02-0044","2020-02-01","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"45","CHN-L03-ROB03","","5","ROB","3","SN-CHN-ROB-03-0045","2019-09-13","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"46","CHN-L03-CON01","","7","CON","1","SN-CHN-CON-01-0046","2023-04-22","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"47","CHN-L03-CON02","","8","CON","2","SN-CHN-CON-02-0047","2022-11-09","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"48","CHN-L03-CON03","","7","CON","3","SN-CHN-CON-03-0048","2021-06-21","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"49","CHN-L03-CMP01","","9","CMP","1","SN-CHN-CMP-01-0049","2020-01-05","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"50","CHN-L03-CMP02","","10","CMP","2","SN-CHN-CMP-02-0050","2019-08-17","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"51","CHN-L03-FRN01","","11","FRN","1","SN-CHN-FRN-01-0051","2023-03-02","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"52","CHN-L03-INS01","","13","INS","1","SN-CHN-INS-01-0052","2022-10-13","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"53","CHN-L03-PKG01","","15","PKG","1","SN-CHN-PKG-01-0053","2021-05-24","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"54","CHN-L03-PAL01","","17","PAL","1","SN-CHN-PAL-01-0054","2020-12-10","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"55","CHN-L04-CNC01","","1","CNC","1","SN-CHN-CNC-01-0055","2019-07-21","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"56","CHN-L04-CNC02","","2","CNC","2","SN-CHN-CNC-02-0056","2023-02-08","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"57","CHN-L04-CNC03","","1","CNC","3","SN-CHN-CNC-03-0057","2022-09-20","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"58","CHN-L04-CNC04","","2","CNC","4","SN-CHN-CNC-04-0058","2021-04-07","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"59","CHN-L04-HPR01","","3","HPR","1","SN-CHN-HPR-01-0059","2020-11-15","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"60","CHN-L04-HPR02","","4","HPR","2","SN-CHN-HPR-02-0060","2019-06-02","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"61","CHN-L04-ROB01","","5","ROB","1","SN-CHN-ROB-01-0061","2023-01-12","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"62","CHN-L04-ROB02","","6","ROB","2","SN-CHN-ROB-02-0062","2022-08-24","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"63","CHN-L04-ROB03","","5","ROB","3","SN-CHN-ROB-03-0063","2021-03-11","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"64","CHN-L04-CON01","","7","CON","1","SN-CHN-CON-01-0064","2020-10-20","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"65","CHN-L04-CON02","","8","CON","2","SN-CHN-CON-02-0065","2019-05-07","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"66","CHN-L04-CON03","","7","CON","3","SN-CHN-CON-03-0066","2023-12-19","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"67","CHN-L04-CMP01","","9","CMP","1","SN-CHN-CMP-01-0067","2022-07-03","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"68","CHN-L04-CMP02","","10","CMP","2","SN-CHN-CMP-02-0068","2021-02-15","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"69","CHN-L04-FRN01","","11","FRN","1","SN-CHN-FRN-01-0069","2020-09-25","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"70","CHN-L04-INS01","","13","INS","1","SN-CHN-INS-01-0070","2019-04-11","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"71","CHN-L04-PKG01","","15","PKG","1","SN-CHN-PKG-01-0071","2023-11-22","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"72","CHN-L04-PAL01","","17","PAL","1","SN-CHN-PAL-01-0072","2022-06-08","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"73","CHN-L05-CNC01","","1","CNC","1","SN-CHN-CNC-01-0073","2021-01-19","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"74","CHN-L05-CNC02","","2","CNC","2","SN-CHN-CNC-02-0074","2020-08-06","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"75","CHN-L05-CNC03","","1","CNC","3","SN-CHN-CNC-03-0075","2019-03-18","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"76","CHN-L05-CNC04","","2","CNC","4","SN-CHN-CNC-04-0076","2023-10-05","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"77","CHN-L05-HPR01","","3","HPR","1","SN-CHN-HPR-01-0077","2022-05-13","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"78","CHN-L05-HPR02","","4","HPR","2","SN-CHN-HPR-02-0078","2021-12-25","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"79","CHN-L05-ROB01","","5","ROB","1","SN-CHN-ROB-01-0079","2020-07-10","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"80","CHN-L05-ROB02","","6","ROB","2","SN-CHN-ROB-02-0080","2019-02-22","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"81","CHN-L05-ROB03","","5","ROB","3","SN-CHN-ROB-03-0081","2023-09-09","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"82","CHN-L05-CON01","","7","CON","1","SN-CHN-CON-01-0082","2022-04-18","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"83","CHN-L05-CON02","","8","CON","2","SN-CHN-CON-02-0083","2021-11-05","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"84","CHN-L05-CON03","","7","CON","3","SN-CHN-CON-03-0084","2020-06-17","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"85","CHN-L05-CMP01","","9","CMP","1","SN-CHN-CMP-01-0085","2019-01-01","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"86","CHN-L05-CMP02","","10","CMP","2","SN-CHN-CMP-02-0086","2023-08-13","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"87","CHN-L05-FRN01","","11","FRN","1","SN-CHN-FRN-01-0087","2022-03-23","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"88","CHN-L05-INS01","","13","INS","1","SN-CHN-INS-01-0088","2021-10-09","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"89","CHN-L05-PKG01","","15","PKG","1","SN-CHN-PKG-01-0089","2020-05-20","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"90","CHN-L05-PAL01","","17","PAL","1","SN-CHN-PAL-01-0090","2019-12-06","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"91","PUN-L01-CNC01","","1","CNC","1","SN-PUN-CNC-01-0091","2022-08-17","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"92","PUN-L01-CNC02","","2","CNC","2","SN-PUN-CNC-02-0092","2021-03-04","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"93","PUN-L01-CNC03","","1","CNC","3","SN-PUN-CNC-03-0093","2020-10-16","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"94","PUN-L01-CNC04","","2","CNC","4","SN-PUN-CNC-04-0094","2019-05-03","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"95","PUN-L01-HPR01","","3","HPR","1","SN-PUN-HPR-01-0095","2023-12-11","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"96","PUN-L01-HPR02","","4","HPR","2","SN-PUN-HPR-02-0096","2022-07-23","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"97","PUN-L01-ROB01","","5","ROB","1","SN-PUN-ROB-01-0097","2021-02-08","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"98","PUN-L01-ROB02","","6","ROB","2","SN-PUN-ROB-02-0098","2020-09-20","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"99","PUN-L01-ROB03","","5","ROB","3","SN-PUN-ROB-03-0099","2019-04-07","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"100","PUN-L01-CON01","","7","CON","1","SN-PUN-CON-01-0100","2023-11-16","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"101","PUN-L01-CON02","","8","CON","2","SN-PUN-CON-02-0101","2022-06-03","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"102","PUN-L01-CON03","","7","CON","3","SN-PUN-CON-03-0102","2021-01-15","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"103","PUN-L01-CMP01","","9","CMP","1","SN-PUN-CMP-01-0103","2020-08-24","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"104","PUN-L01-CMP02","","10","CMP","2","SN-PUN-CMP-02-0104","2019-03-11","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"105","PUN-L01-FRN01","","11","FRN","1","SN-PUN-FRN-01-0105","2023-10-21","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"106","PUN-L01-INS01","","13","INS","1","SN-PUN-INS-01-0106","2022-05-07","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"107","PUN-L01-PKG01","","15","PKG","1","SN-PUN-PKG-01-0107","2021-12-18","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"108","PUN-L01-PAL01","","17","PAL","1","SN-PUN-PAL-01-0108","2020-07-04","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"109","PUN-L02-CNC01","","1","CNC","1","SN-PUN-CNC-01-0109","2019-02-15","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"110","PUN-L02-CNC02","","2","CNC","2","SN-PUN-CNC-02-0110","2023-09-02","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"111","PUN-L02-CNC03","","1","CNC","3","SN-PUN-CNC-03-0111","2022-04-14","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"112","PUN-L02-CNC04","","2","CNC","4","SN-PUN-CNC-04-0112","2021-11-01","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"113","PUN-L02-HPR01","","3","HPR","1","SN-PUN-HPR-01-0113","2020-06-09","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"114","PUN-L02-HPR02","","4","HPR","2","SN-PUN-HPR-02-0114","2019-01-21","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"115","PUN-L02-ROB01","","5","ROB","1","SN-PUN-ROB-01-0115","2023-08-06","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"116","PUN-L02-ROB02","","6","ROB","2","SN-PUN-ROB-02-0116","2022-03-18","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"117","PUN-L02-ROB03","","5","ROB","3","SN-PUN-ROB-03-0117","2021-10-05","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"118","PUN-L02-CON01","","7","CON","1","SN-PUN-CON-01-0118","2020-05-14","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"119","PUN-L02-CON02","","8","CON","2","SN-PUN-CON-02-0119","2019-12-01","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"120","PUN-L02-CON03","","7","CON","3","SN-PUN-CON-03-0120","2023-07-13","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"121","PUN-L02-CMP01","","9","CMP","1","SN-PUN-CMP-01-0121","2022-02-22","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"122","PUN-L02-CMP02","","10","CMP","2","SN-PUN-CMP-02-0122","2021-09-09","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"123","PUN-L02-FRN01","","11","FRN","1","SN-PUN-FRN-01-0123","2020-04-19","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"124","PUN-L02-INS01","","13","INS","1","SN-PUN-INS-01-0124","2019-11-05","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"125","PUN-L02-PKG01","","15","PKG","1","SN-PUN-PKG-01-0125","2023-06-16","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"126","PUN-L02-PAL01","","17","PAL","1","SN-PUN-PAL-01-0126","2022-01-02","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"127","PUN-L03-CNC01","","1","CNC","1","SN-PUN-CNC-01-0127","2021-08-13","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"128","PUN-L03-CNC02","","2","CNC","2","SN-PUN-CNC-02-0128","2020-03-25","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"129","PUN-L03-CNC03","","1","CNC","3","SN-PUN-CNC-03-0129","2019-10-12","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"130","PUN-L03-CNC04","","2","CNC","4","SN-PUN-CNC-04-0130","2023-05-24","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"131","PUN-L03-HPR01","","3","HPR","1","SN-PUN-HPR-01-0131","2022-12-07","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"132","PUN-L03-HPR02","","4","HPR","2","SN-PUN-HPR-02-0132","2021-07-19","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"133","PUN-L03-ROB01","","5","ROB","1","SN-PUN-ROB-01-0133","2020-02-04","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"134","PUN-L03-ROB02","","6","ROB","2","SN-PUN-ROB-02-0134","2019-09-16","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"135","PUN-L03-ROB03","","5","ROB","3","SN-PUN-ROB-03-0135","2023-04-03","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"136","PUN-L03-CON01","","7","CON","1","SN-PUN-CON-01-0136","2022-11-12","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"137","PUN-L03-CON02","","8","CON","2","SN-PUN-CON-02-0137","2021-06-24","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"138","PUN-L03-CON03","","7","CON","3","SN-PUN-CON-03-0138","2020-01-11","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"139","PUN-L03-CMP01","","9","CMP","1","SN-PUN-CMP-01-0139","2019-08-20","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"140","PUN-L03-CMP02","","10","CMP","2","SN-PUN-CMP-02-0140","2023-03-07","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"141","PUN-L03-FRN01","","11","FRN","1","SN-PUN-FRN-01-0141","2022-10-17","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"142","PUN-L03-INS01","","13","INS","1","SN-PUN-INS-01-0142","2021-05-03","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"143","PUN-L03-PKG01","","15","PKG","1","SN-PUN-PKG-01-0143","2020-12-14","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"144","PUN-L03-PAL01","","17","PAL","1","SN-PUN-PAL-01-0144","2019-07-25","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"145","PUN-L04-CNC01","","1","CNC","1","SN-PUN-CNC-01-0145","2023-02-11","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"146","PUN-L04-CNC02","","2","CNC","2","SN-PUN-CNC-02-0146","2022-09-23","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"147","PUN-L04-CNC03","","1","CNC","3","SN-PUN-CNC-03-0147","2021-04-10","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"148","PUN-L04-CNC04","","2","CNC","4","SN-PUN-CNC-04-0148","2020-11-22","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"149","PUN-L04-HPR01","","3","HPR","1","SN-PUN-HPR-01-0149","2019-06-05","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"150","PUN-L04-HPR02","","4","HPR","2","SN-PUN-HPR-02-0150","2023-01-17","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"151","PUN-L04-ROB01","","5","ROB","1","SN-PUN-ROB-01-0151","2022-08-02","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"152","PUN-L04-ROB02","","6","ROB","2","SN-PUN-ROB-02-0152","2021-03-14","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"153","PUN-L04-ROB03","","5","ROB","3","SN-PUN-ROB-03-0153","2020-10-01","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"154","PUN-L04-CON01","","7","CON","1","SN-PUN-CON-01-0154","2019-05-10","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"155","PUN-L04-CON02","","8","CON","2","SN-PUN-CON-02-0155","2023-12-22","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"156","PUN-L04-CON03","","7","CON","3","SN-PUN-CON-03-0156","2022-07-09","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"157","PUN-L04-CMP01","","9","CMP","1","SN-PUN-CMP-01-0157","2021-02-18","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"158","PUN-L04-CMP02","","10","CMP","2","SN-PUN-CMP-02-0158","2020-09-05","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"159","PUN-L04-FRN01","","11","FRN","1","SN-PUN-FRN-01-0159","2019-04-15","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"160","PUN-L04-INS01","","13","INS","1","SN-PUN-INS-01-0160","2023-11-01","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"161","PUN-L04-PKG01","","15","PKG","1","SN-PUN-PKG-01-0161","2022-06-12","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"162","PUN-L04-PAL01","","17","PAL","1","SN-PUN-PAL-01-0162","2021-01-23","30","unit_min","20","80","LOW","ACTIVE","2022-01-01","","true"
"163","PUN-L05-CNC01","","1","CNC","1","SN-PUN-CNC-01-0163","2020-08-09","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"164","PUN-L05-CNC02","","2","CNC","2","SN-PUN-CNC-02-0164","2019-03-21","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"165","PUN-L05-CNC03","","1","CNC","3","SN-PUN-CNC-03-0165","2023-10-08","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"166","PUN-L05-CNC04","","2","CNC","4","SN-PUN-CNC-04-0166","2022-05-20","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"167","PUN-L05-HPR01","","3","HPR","1","SN-PUN-HPR-01-0167","2021-12-03","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"168","PUN-L05-HPR02","","4","HPR","2","SN-PUN-HPR-02-0168","2020-07-15","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"169","PUN-L05-ROB01","","5","ROB","1","SN-PUN-ROB-01-0169","2019-02-25","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"170","PUN-L05-ROB02","","6","ROB","2","SN-PUN-ROB-02-0170","2023-09-12","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"171","PUN-L05-ROB03","","5","ROB","3","SN-PUN-ROB-03-0171","2022-04-24","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
