operator_sk,operator_id,operator_name,plant_id,plant_sk,team_code,skill_level,status,effective_from,effective_to,is_current
"20","OPR-10020","Chennai Operator 20","PLT-CHN-01","1","CHN-TEAM-4","LEVEL_1","ACTIVE","2025-01-01","","true"
"21","OPR-10021","Pune Operator 01","PLT-PUN-01","2","PUN-TEAM-1","LEVEL_3","ACTIVE","2025-01-01","","true"
"22","OPR-10022","Pune Operator 02","PLT-PUN-01","2","PUN-TEAM-2","LEVEL_4","ACTIVE","2025-01-01","","true"
"23","OPR-10023","Pune Operator 03","PLT-PUN-01","2","PUN-TEAM-3","LEVEL_5","ACTIVE","2025-01-01","","true"
"24","OPR-10024","Pune Operator 04","PLT-PUN-01","2","PUN-TEAM-4","LEVEL_1","ACTIVE","2025-01-01","","true"
"25","OPR-10025","Pune Operator 05","PLT-PUN-01","2","PUN-TEAM-1","LEVEL_2","ACTIVE","2025-01-01","","true"
"26","OPR-10026","Pune Operator 06","PLT-PUN-01","2","PUN-TEAM-2","LEVEL_3","ACTIVE","2025-01-01","","true"
"27","OPR-10027","Pune Operator 07","PLT-PUN-01","2","PUN-TEAM-3","LEVEL_4","ACTIVE","2025-01-01","","true"
"28","OPR-10028","Pune Operator 08","PLT-PUN-01","2","PUN-TEAM-4","LEVEL_5","ACTIVE","2025-01-01","","true"
"29","OPR-10029","Pune Operator 09","PLT-PUN-01","2","PUN-TEAM-1","LEVEL_1","ACTIVE","2025-01-01","","true"
"30","OPR-10030","Pune Operator 10","PLT-PUN-01","2","PUN-TEAM-2","LEVEL_2","ACTIVE","2025-01-01","","true"
"31","OPR-10031","Pune Operator 11","PLT-PUN-01","2","PUN-TEAM-3","LEVEL_3","ACTIVE","2025-01-01","","true"
"32","OPR-10032","Pune Operator 12","PLT-PUN-01","2","PUN-TEAM-4","LEVEL_4","ACTIVE","2025-01-01","","true"
"33","OPR-10033","Pune Operator 13","PLT-PUN-01","2","PUN-TEAM-1","LEVEL_5","ACTIVE","2025-01-01","","true"
"34","OPR-10034","Pune Operator 14","PLT-PUN-01","2","PUN-TEAM-2","LEVEL_1","ACTIVE","2025-01-01","","true"
"35","OPR-10035","Pune Operator 15","PLT-PUN-01","2","PUN-TEAM-3","LEVEL_2","ACTIVE","2025-01-01","","true"
"36","OPR-10036","Pune Operator 16","PLT-PUN-01","2","PUN-TEAM-4","LEVEL_3","ACTIVE","2025-01-01","","true"
"37","OPR-10037","Pune Operator 17","PLT-PUN-01","2","PUN-TEAM-1","LEVEL_4","ACTIVE","2025-01-01","","true"
"38","OPR-10038","Pune Operator 18","PLT-PUN-01","2","PUN-TEAM-2","LEVEL_5","ACTIVE","2025-01-01","","true"
"39","OPR-10039","Pune Operator 19","PLT-PUN-01","2","PUN-TEAM-3","LEVEL_1","ACTIVE","2025-01-01","","true"
"40","OPR-10040","Pune Operator 20","PLT-PUN-01","2","PUN-TEAM-4","LEVEL_2","ACTIVE","2025-01-01","","true"
"41","OPR-10041","Coimbatore Operator 01","PLT-CBE-01","3","CBE-TEAM-1","LEVEL_4","ACTIVE","2025-01-01","","true"
"42","OPR-10042","Coimbatore Operator 02","PLT-CBE-01","3","CBE-TEAM-2","LEVEL_5","ACTIVE","2025-01-01","","true"
"43","OPR-10043","Coimbatore Operator 03","PLT-CBE-01","3","CBE-TEAM-3","LEVEL_1","ACTIVE","2025-01-01","","true"
"44","OPR-10044","Coimbatore Operator 04","PLT-CBE-01","3","CBE-TEAM-4","LEVEL_2","ACTIVE","2025-01-01","","true"
"45","OPR-10045","Coimbatore Operator 05","PLT-CBE-01","3","CBE-TEAM-1","LEVEL_3","ACTIVE","2025-01-01","","true"
"46","OPR-10046","Coimbatore Operator 06","PLT-CBE-01","3","CBE-TEAM-2","LEVEL_4","ACTIVE","2025-01-01","","true"
"47","OPR-10047","Coimbatore Operator 07","PLT-CBE-01","3","CBE-TEAM-3","LEVEL_5","ACTIVE","2025-01-01","","true"
"48","OPR-10048","Coimbatore Operator 08","PLT-CBE-01","3","CBE-TEAM-4","LEVEL_1","ACTIVE","2025-01-01","","true"
"49","OPR-10049","Coimbatore Operator 09","PLT-CBE-01","3","CBE-TEAM-1","LEVEL_2","ACTIVE","2025-01-01","","true"
"50","OPR-10050","Coimbatore Operator 10","PLT-CBE-01","3","CBE-TEAM-2","LEVEL_3","ACTIVE","2025-01-01","","true"
"51","OPR-10051","Coimbatore Operator 11","PLT-CBE-01","3","CBE-TEAM-3","LEVEL_4","ACTIVE","2025-01-01","","true"
"52","OPR-10052","Coimbatore Operator 12","PLT-CBE-01","3","CBE-TEAM-4","LEVEL_5","ACTIVE","2025-01-01","","true"
"53","OPR-10053","Coimbatore Operator 13","PLT-CBE-01","3","CBE-TEAM-1","LEVEL_1","ACTIVE","2025-01-01","","true"
"54","OPR-10054","Coimbatore Operator 14","PLT-CBE-01","3","CBE-TEAM-2","LEVEL_2","ACTIVE","2025-01-01","","true"
"55","OPR-10055","Coimbatore Operator 15","PLT-CBE-01","3","CBE-TEAM-3","LEVEL_3","ACTIVE","2025-01-01","","true"
"56","OPR-10056","Coimbatore Operator 16","PLT-CBE-01","3","CBE-TEAM-4","LEVEL_4","ACTIVE","2025-01-01","","true"
"57","OPR-10057","Coimbatore Operator 17","PLT-CBE-01","3","CBE-TEAM-1","LEVEL_5","ACTIVE","2025-01-01","","true"
"58","OPR-10058","Coimbatore Operator 18","PLT-CBE-01","3","CBE-TEAM-2","LEVEL_1","ACTIVE","2025-01-01","","true"
"59","OPR-10059","Coimbatore Operator 19","PLT-CBE-01","3","CBE-TEAM-3","LEVEL_2","ACTIVE","2025-01-01","","true"
"60","OPR-10060","Coimbatore Operator 20","PLT-CBE-01","3","CBE-TEAM-4","LEVEL_3","ACTIVE","2025-01-01","","true"
