machine_id,plant_id,line_id,production_area_id,machine_type,machine_type_code,machine_sequence,operating_state,criticality
CHN-L04-ROB02,PLT-CHN-01,CHN-L04,CHN-PA04,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CHN-L04-ROB03,PLT-CHN-01,CHN-L04,CHN-PA04,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CHN-L04-CON01,PLT-CHN-01,CHN-L04,CHN-PA04,Conveyor,CON,01,OFFLINE,LOW
CHN-L04-CON02,PLT-CHN-01,CHN-L04,CHN-PA04,Conveyor,CON,02,OFFLINE,LOW
CHN-L04-CON03,PLT-CHN-01,CHN-L04,CHN-PA04,Conveyor,CON,03,OFFLINE,LOW
CHN-L04-CMP01,PLT-CHN-01,CHN-L04,CHN-PA04,Compressor,CMP,01,OFFLINE,MEDIUM
CHN-L04-CMP02,PLT-CHN-01,CHN-L04,CHN-PA04,Compressor,CMP,02,OFFLINE,MEDIUM
CHN-L04-FRN01,PLT-CHN-01,CHN-L04,CHN-PA04,Furnace,FRN,01,OFFLINE,HIGH
CHN-L04-INS01,PLT-CHN-01,CHN-L04,CHN-PA04,Inspection,INS,01,OFFLINE,LOW
CHN-L04-PKG01,PLT-CHN-01,CHN-L04,CHN-PA04,Packaging,PKG,01,OFFLINE,LOW
CHN-L04-PAL01,PLT-CHN-01,CHN-L04,CHN-PA04,Palletizer,PAL,01,OFFLINE,LOW
CHN-L05-CNC01,PLT-CHN-01,CHN-L05,CHN-PA05,CNC,CNC,01,OFFLINE,HIGH
CHN-L05-CNC02,PLT-CHN-01,CHN-L05,CHN-PA05,CNC,CNC,02,OFFLINE,HIGH
CHN-L05-CNC03,PLT-CHN-01,CHN-L05,CHN-PA05,CNC,CNC,03,OFFLINE,HIGH
CHN-L05-CNC04,PLT-CHN-01,CHN-L05,CHN-PA05,CNC,CNC,04,OFFLINE,HIGH
CHN-L05-HPR01,PLT-CHN-01,CHN-L05,CHN-PA05,Hydraulic Press,HPR,01,OFFLINE,HIGH
CHN-L05-HPR02,PLT-CHN-01,CHN-L05,CHN-PA05,Hydraulic Press,HPR,02,OFFLINE,HIGH
CHN-L05-ROB01,PLT-CHN-01,CHN-L05,CHN-PA05,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CHN-L05-ROB02,PLT-CHN-01,CHN-L05,CHN-PA05,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CHN-L05-ROB03,PLT-CHN-01,CHN-L05,CHN-PA05,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CHN-L05-CON01,PLT-CHN-01,CHN-L05,CHN-PA05,Conveyor,CON,01,OFFLINE,LOW
CHN-L05-CON02,PLT-CHN-01,CHN-L05,CHN-PA05,Conveyor,CON,02,OFFLINE,LOW
CHN-L05-CON03,PLT-CHN-01,CHN-L05,CHN-PA05,Conveyor,CON,03,OFFLINE,LOW
CHN-L05-CMP01,PLT-CHN-01,CHN-L05,CHN-PA05,Compressor,CMP,01,OFFLINE,MEDIUM
CHN-L05-CMP02,PLT-CHN-01,CHN-L05,CHN-PA05,Compressor,CMP,02,OFFLINE,MEDIUM
CHN-L05-FRN01,PLT-CHN-01,CHN-L05,CHN-PA05,Furnace,FRN,01,OFFLINE,HIGH
CHN-L05-INS01,PLT-CHN-01,CHN-L05,CHN-PA05,Inspection,INS,01,OFFLINE,LOW
CHN-L05-PKG01,PLT-CHN-01,CHN-L05,CHN-PA05,Packaging,PKG,01,OFFLINE,LOW
CHN-L05-PAL01,PLT-CHN-01,CHN-L05,CHN-PA05,Palletizer,PAL,01,OFFLINE,LOW
PUN-L01-CNC01,PLT-PUN-01,PUN-L01,PUN-PA01,CNC,CNC,01,OFFLINE,HIGH
PUN-L01-CNC02,PLT-PUN-01,PUN-L01,PUN-PA01,CNC,CNC,02,OFFLINE,HIGH
PUN-L01-CNC03,PLT-PUN-01,PUN-L01,PUN-PA01,CNC,CNC,03,OFFLINE,HIGH
PUN-L01-CNC04,PLT-PUN-01,PUN-L01,PUN-PA01,CNC,CNC,04,OFFLINE,HIGH
PUN-L01-HPR01,PLT-PUN-01,PUN-L01,PUN-PA01,Hydraulic Press,HPR,01,OFFLINE,HIGH
PUN-L01-HPR02,PLT-PUN-01,PUN-L01,PUN-PA01,Hydraulic Press,HPR,02,OFFLINE,HIGH
PUN-L01-ROB01,PLT-PUN-01,PUN-L01,PUN-PA01,Industrial Robot,ROB,01,OFFLINE,MEDIUM
PUN-L01-ROB02,PLT-PUN-01,PUN-L01,PUN-PA01,Industrial Robot,ROB,02,OFFLINE,MEDIUM
PUN-L01-ROB03,PLT-PUN-01,PUN-L01,PUN-PA01,Industrial Robot,ROB,03,OFFLINE,MEDIUM
PUN-L01-CON01,PLT-PUN-01,PUN-L01,PUN-PA01,Conveyor,CON,01,OFFLINE,LOW
PUN-L01-CON02,PLT-PUN-01,PUN-L01,PUN-PA01,Conveyor,CON,02,OFFLINE,LOW
PUN-L01-CON03,PLT-PUN-01,PUN-L01,PUN-PA01,Conveyor,CON,03,OFFLINE,LOW
PUN-L01-CMP01,PLT-PUN-01,PUN-L01,PUN-PA01,Compressor,CMP,01,OFFLINE,MEDIUM
PUN-L01-CMP02,PLT-PUN-01,PUN-L01,PUN-PA01,Compressor,CMP,02,OFFLINE,MEDIUM
PUN-L01-FRN01,PLT-PUN-01,PUN-L01,PUN-PA01,Furnace,FRN,01,OFFLINE,HIGH
PUN-L01-INS01,PLT-PUN-01,PUN-L01,PUN-PA01,Inspection,INS,01,OFFLINE,LOW
PUN-L01-PKG01,PLT-PUN-01,PUN-L01,PUN-PA01,Packaging,PKG,01,OFFLINE,LOW
PUN-L01-PAL01,PLT-PUN-01,PUN-L01,PUN-PA01,Palletizer,PAL,01,OFFLINE,LOW
PUN-L02-CNC01,PLT-PUN-01,PUN-L02,PUN-PA02,CNC,CNC,01,OFFLINE,HIGH
PUN-L02-CNC02,PLT-PUN-01,PUN-L02,PUN-PA02,CNC,CNC,02,OFFLINE,HIGH
PUN-L02-CNC03,PLT-PUN-01,PUN-L02,PUN-PA02,CNC,CNC,03,OFFLINE,HIGH
PUN-L02-CNC04,PLT-PUN-01,PUN-L02,PUN-PA02,CNC,CNC,04,OFFLINE,HIGH
PUN-L02-HPR01,PLT-PUN-01,PUN-L02,PUN-PA02,Hydraulic Press,HPR,01,OFFLINE,HIGH
PUN-L02-HPR02,PLT-PUN-01,PUN-L02,PUN-PA02,Hydraulic Press,HPR,02,OFFLINE,HIGH
PUN-L02-ROB01,PLT-PUN-01,PUN-L02,PUN-PA02,Industrial Robot,ROB,01,OFFLINE,MEDIUM
PUN-L02-ROB02,PLT-PUN-01,PUN-L02,PUN-PA02,Industrial Robot,ROB,02,OFFLINE,MEDIUM
PUN-L02-ROB03,PLT-PUN-01,PUN-L02,PUN-PA02,Industrial Robot,ROB,03,OFFLINE,MEDIUM
PUN-L02-CON01,PLT-PUN-01,PUN-L02,PUN-PA02,Conveyor,CON,01,OFFLINE,LOW
PUN-L02-CON02,PLT-PUN-01,PUN-L02,PUN-PA02,Conveyor,CON,02,OFFLINE,LOW
PUN-L02-CON03,PLT-PUN-01,PUN-L02,PUN-PA02,Conveyor,CON,03,OFFLINE,LOW
PUN-L02-CMP01,PLT-PUN-01,PUN-L02,PUN-PA02,Compressor,CMP,01,OFFLINE,MEDIUM
PUN-L02-CMP02,PLT-PUN-01,PUN-L02,PUN-PA02,Compressor,CMP,02,OFFLINE,MEDIUM
PUN-L02-FRN01,PLT-PUN-01,PUN-L02,PUN-PA02,Furnace,FRN,01,OFFLINE,HIGH
PUN-L02-INS01,PLT-PUN-01,PUN-L02,PUN-PA02,Inspection,INS,01,OFFLINE,LOW
PUN-L02-PKG01,PLT-PUN-01,PUN-L02,PUN-PA02,Packaging,PKG,01,OFFLINE,LOW
PUN-L02-PAL01,PLT-PUN-01,PUN-L02,PUN-PA02,Palletizer,PAL,01,OFFLINE,LOW
PUN-L03-CNC01,PLT-PUN-01,PUN-L03,PUN-PA03,CNC,CNC,01,OFFLINE,HIGH
PUN-L03-CNC02,PLT-PUN-01,PUN-L03,PUN-PA03,CNC,CNC,02,OFFLINE,HIGH
PUN-L03-CNC03,PLT-PUN-01,PUN-L03,PUN-PA03,CNC,CNC,03,OFFLINE,HIGH
PUN-L03-CNC04,PLT-PUN-01,PUN-L03,PUN-PA03,CNC,CNC,04,OFFLINE,HIGH
PUN-L03-HPR01,PLT-PUN-01,PUN-L03,PUN-PA03,Hydraulic Press,HPR,01,OFFLINE,HIGH
PUN-L03-HPR02,PLT-PUN-01,PUN-L03,PUN-PA03,Hydraulic Press,HPR,02,OFFLINE,HIGH
PUN-L03-ROB01,PLT-PUN-01,PUN-L03,PUN-PA03,Industrial Robot,ROB,01,OFFLINE,MEDIUM
PUN-L03-ROB02,PLT-PUN-01,PUN-L03,PUN-PA03,Industrial Robot,ROB,02,OFFLINE,MEDIUM
PUN-L03-ROB03,PLT-PUN-01,PUN-L03,PUN-PA03,Industrial Robot,ROB,03,OFFLINE,MEDIUM
PUN-L03-CON01,PLT-PUN-01,PUN-L03,PUN-PA03,Conveyor,CON,01,OFFLINE,LOW
PUN-L03-CON02,PLT-PUN-01,PUN-L03,PUN-PA03,Conveyor,CON,02,OFFLINE,LOW
PUN-L03-CON03,PLT-PUN-01,PUN-L03,PUN-PA03,Conveyor,CON,03,OFFLINE,LOW
PUN-L03-CMP01,PLT-PUN-01,PUN-L03,PUN-PA03,Compressor,CMP,01,OFFLINE,MEDIUM
PUN-L03-CMP02,PLT-PUN-01,PUN-L03,PUN-PA03,Compressor,CMP,02,OFFLINE,MEDIUM
PUN-L03-FRN01,PLT-PUN-01,PUN-L03,PUN-PA03,Furnace,FRN,01,OFFLINE,HIGH
PUN-L03-INS01,PLT-PUN-01,PUN-L03,PUN-PA03,Inspection,INS,01,OFFLINE,LOW
PUN-L03-PKG01,PLT-PUN-01,PUN-L03,PUN-PA03,Packaging,PKG,01,OFFLINE,LOW
PUN-L03-PAL01,PLT-PUN-01,PUN-L03,PUN-PA03,Palletizer,PAL,01,OFFLINE,LOW
PUN-L04-CNC01,PLT-PUN-01,PUN-L04,PUN-PA04,CNC,CNC,01,OFFLINE,HIGH
PUN-L04-CNC02,PLT-PUN-01,PUN-L04,PUN-PA04,CNC,CNC,02,OFFLINE,HIGH
PUN-L04-CNC03,PLT-PUN-01,PUN-L04,PUN-PA04,CNC,CNC,03,OFFLINE,HIGH
PUN-L04-CNC04,PLT-PUN-01,PUN-L04,PUN-PA04,CNC,CNC,04,OFFLINE,HIGH
PUN-L04-HPR01,PLT-PUN-01,PUN-L04,PUN-PA04,Hydraulic Press,HPR,01,OFFLINE,HIGH
PUN-L04-HPR02,PLT-PUN-01,PUN-L04,PUN-PA04,Hydraulic Press,HPR,02,OFFLINE,HIGH
PUN-L04-ROB01,PLT-PUN-01,PUN-L04,PUN-PA04,Industrial Robot,ROB,01,OFFLINE,MEDIUM
PUN-L04-ROB02,PLT-PUN-01,PUN-L04,PUN-PA04,Industrial Robot,ROB,02,OFFLINE,MEDIUM
PUN-L04-ROB03,PLT-PUN-01,PUN-L04,PUN-PA04,Industrial Robot,ROB,03,OFFLINE,MEDIUM
PUN-L04-CON01,PLT-PUN-01,PUN-L04,PUN-PA04,Conveyor,CON,01,OFFLINE,LOW
PUN-L04-CON02,PLT-PUN-01,PUN-L04,PUN-PA04,Conveyor,CON,02,OFFLINE,LOW
PUN-L04-CON03,PLT-PUN-01,PUN-L04,PUN-PA04,Conveyor,CON,03,OFFLINE,LOW
PUN-L04-CMP01,PLT-PUN-01,PUN-L04,PUN-PA04,Compressor,CMP,01,OFFLINE,MEDIUM
PUN-L04-CMP02,PLT-PUN-01,PUN-L04,PUN-PA04,Compressor,CMP,02,OFFLINE,MEDIUM
PUN-L04-FRN01,PLT-PUN-01,PUN-L04,PUN-PA04,Furnace,FRN,01,OFFLINE,HIGH
PUN-L04-INS01,PLT-PUN-01,PUN-L04,PUN-PA04,Inspection,INS,01,OFFLINE,LOW
PUN-L04-PKG01,PLT-PUN-01,PUN-L04,PUN-PA04,Packaging,PKG,01,OFFLINE,LOW
PUN-L04-PAL01,PLT-PUN-01,PUN-L04,PUN-PA04,Palletizer,PAL,01,OFFLINE,LOW
PUN-L05-CNC01,PLT-PUN-01,PUN-L05,PUN-PA05,CNC,CNC,01,OFFLINE,HIGH
PUN-L05-CNC02,PLT-PUN-01,PUN-L05,PUN-PA05,CNC,CNC,02,OFFLINE,HIGH
PUN-L05-CNC03,PLT-PUN-01,PUN-L05,PUN-PA05,CNC,CNC,03,OFFLINE,HIGH
PUN-L05-CNC04,PLT-PUN-01,PUN-L05,PUN-PA05,CNC,CNC,04,OFFLINE,HIGH
PUN-L05-HPR01,PLT-PUN-01,PUN-L05,PUN-PA05,Hydraulic Press,HPR,01,OFFLINE,HIGH
PUN-L05-HPR02,PLT-PUN-01,PUN-L05,PUN-PA05,Hydraulic Press,HPR,02,OFFLINE,HIGH
PUN-L05-ROB01,PLT-PUN-01,PUN-L05,PUN-PA05,Industrial Robot,ROB,01,OFFLINE,MEDIUM
PUN-L05-ROB02,PLT-PUN-01,PUN-L05,PUN-PA05,Industrial Robot,ROB,02,OFFLINE,MEDIUM
PUN-L05-ROB03,PLT-PUN-01,PUN-L05,PUN-PA05,Industrial Robot,ROB,03,OFFLINE,MEDIUM
PUN-L05-CON01,PLT-PUN-01,PUN-L05,PUN-PA05,Conveyor,CON,01,OFFLINE,LOW
PUN-L05-CON02,PLT-PUN-01,PUN-L05,PUN-PA05,Conveyor,CON,02,OFFLINE,LOW
PUN-L05-CON03,PLT-PUN-01,PUN-L05,PUN-PA05,Conveyor,CON,03,OFFLINE,LOW
PUN-L05-CMP01,PLT-PUN-01,PUN-L05,PUN-PA05,Compressor,CMP,01,OFFLINE,MEDIUM
PUN-L05-CMP02,PLT-PUN-01,PUN-L05,PUN-PA05,Compressor,CMP,02,OFFLINE,MEDIUM
PUN-L05-FRN01,PLT-PUN-01,PUN-L05,PUN-PA05,Furnace,FRN,01,OFFLINE,HIGH
PUN-L05-INS01,PLT-PUN-01,PUN-L05,PUN-PA05,Inspection,INS,01,OFFLINE,LOW
PUN-L05-PKG01,PLT-PUN-01,PUN-L05,PUN-PA05,Packaging,PKG,01,OFFLINE,LOW
PUN-L05-PAL01,PLT-PUN-01,PUN-L05,PUN-PA05,Palletizer,PAL,01,OFFLINE,LOW
CBE-L01-CNC01,PLT-CBE-01,CBE-L01,CBE-PA01,CNC,CNC,01,OFFLINE,HIGH
CBE-L01-CNC02,PLT-CBE-01,CBE-L01,CBE-PA01,CNC,CNC,02,OFFLINE,HIGH
CBE-L01-CNC03,PLT-CBE-01,CBE-L01,CBE-PA01,CNC,CNC,03,OFFLINE,HIGH
CBE-L01-CNC04,PLT-CBE-01,CBE-L01,CBE-PA01,CNC,CNC,04,OFFLINE,HIGH
CBE-L01-HPR01,PLT-CBE-01,CBE-L01,CBE-PA01,Hydraulic Press,HPR,01,OFFLINE,HIGH
CBE-L01-HPR02,PLT-CBE-01,CBE-L01,CBE-PA01,Hydraulic Press,HPR,02,OFFLINE,HIGH
CBE-L01-ROB01,PLT-CBE-01,CBE-L01,CBE-PA01,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CBE-L01-ROB02,PLT-CBE-01,CBE-L01,CBE-PA01,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CBE-L01-ROB03,PLT-CBE-01,CBE-L01,CBE-PA01,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CBE-L01-CON01,PLT-CBE-01,CBE-L01,CBE-PA01,Conveyor,CON,01,OFFLINE,LOW
CBE-L01-CON02,PLT-CBE-01,CBE-L01,CBE-PA01,Conveyor,CON,02,OFFLINE,LOW
CBE-L01-CON03,PLT-CBE-01,CBE-L01,CBE-PA01,Conveyor,CON,03,OFFLINE,LOW
CBE-L01-CMP01,PLT-CBE-01,CBE-L01,CBE-PA01,Compressor,CMP,01,OFFLINE,MEDIUM
CBE-L01-CMP02,PLT-CBE-01,CBE-L01,CBE-PA01,Compressor,CMP,02,OFFLINE,MEDIUM
CBE-L01-FRN01,PLT-CBE-01,CBE-L01,CBE-PA01,Furnace,FRN,01,OFFLINE,HIGH
CBE-L01-INS01,PLT-CBE-01,CBE-L01,CBE-PA01,Inspection,INS,01,OFFLINE,LOW
CBE-L01-PKG01,PLT-CBE-01,CBE-L01,CBE-PA01,Packaging,PKG,01,OFFLINE,LOW
CBE-L01-PAL01,PLT-CBE-01,CBE-L01,CBE-PA01,Palletizer,PAL,01,OFFLINE,LOW
CBE-L02-CNC01,PLT-CBE-01,CBE-L02,CBE-PA02,CNC,CNC,01,OFFLINE,HIGH
CBE-L02-CNC02,PLT-CBE-01,CBE-L02,CBE-PA02,CNC,CNC,02,OFFLINE,HIGH
CBE-L02-CNC03,PLT-CBE-01,CBE-L02,CBE-PA02,CNC,CNC,03,OFFLINE,HIGH
CBE-L02-CNC04,PLT-CBE-01,CBE-L02,CBE-PA02,CNC,CNC,04,OFFLINE,HIGH
CBE-L02-HPR01,PLT-CBE-01,CBE-L02,CBE-PA02,Hydraulic Press,HPR,01,OFFLINE,HIGH
CBE-L02-HPR02,PLT-CBE-01,CBE-L02,CBE-PA02,Hydraulic Press,HPR,02,OFFLINE,HIGH
CBE-L02-ROB01,PLT-CBE-01,CBE-L02,CBE-PA02,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CBE-L02-ROB02,PLT-CBE-01,CBE-L02,CBE-PA02,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CBE-L02-ROB03,PLT-CBE-01,CBE-L02,CBE-PA02,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CBE-L02-CON01,PLT-CBE-01,CBE-L02,CBE-PA02,Conveyor,CON,01,OFFLINE,LOW
CBE-L02-CON02,PLT-CBE-01,CBE-L02,CBE-PA02,Conveyor,CON,02,OFFLINE,LOW
CBE-L02-CON03,PLT-CBE-01,CBE-L02,CBE-PA02,Conveyor,CON,03,OFFLINE,LOW
CBE-L02-CMP01,PLT-CBE-01,CBE-L02,CBE-PA02,Compressor,CMP,01,OFFLINE,MEDIUM
CBE-L02-CMP02,PLT-CBE-01,CBE-L02,CBE-PA02,Compressor,CMP,02,OFFLINE,MEDIUM
CBE-L02-FRN01,PLT-CBE-01,CBE-L02,CBE-PA02,Furnace,FRN,01,OFFLINE,HIGH
CBE-L02-INS01,PLT-CBE-01,CBE-L02,CBE-PA02,Inspection,INS,01,OFFLINE,LOW
CBE-L02-PKG01,PLT-CBE-01,CBE-L02,CBE-PA02,Packaging,PKG,01,OFFLINE,LOW
CBE-L02-PAL01,PLT-CBE-01,CBE-L02,CBE-PA02,Palletizer,PAL,01,OFFLINE,LOW
CBE-L03-CNC01,PLT-CBE-01,CBE-L03,CBE-PA03,CNC,CNC,01,OFFLINE,HIGH
CBE-L03-CNC02,PLT-CBE-01,CBE-L03,CBE-PA03,CNC,CNC,02,OFFLINE,HIGH
CBE-L03-CNC03,PLT-CBE-01,CBE-L03,CBE-PA03,CNC,CNC,03,OFFLINE,HIGH
CBE-L03-CNC04,PLT-CBE-01,CBE-L03,CBE-PA03,CNC,CNC,04,OFFLINE,HIGH
CBE-L03-HPR01,PLT-CBE-01,CBE-L03,CBE-PA03,Hydraulic Press,HPR,01,OFFLINE,HIGH
CBE-L03-HPR02,PLT-CBE-01,CBE-L03,CBE-PA03,Hydraulic Press,HPR,02,OFFLINE,HIGH
CBE-L03-ROB01,PLT-CBE-01,CBE-L03,CBE-PA03,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CBE-L03-ROB02,PLT-CBE-01,CBE-L03,CBE-PA03,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CBE-L03-ROB03,PLT-CBE-01,CBE-L03,CBE-PA03,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CBE-L03-CON01,PLT-CBE-01,CBE-L03,CBE-PA03,Conveyor,CON,01,OFFLINE,LOW
CBE-L03-CON02,PLT-CBE-01,CBE-L03,CBE-PA03,Conveyor,CON,02,OFFLINE,LOW
CBE-L03-CON03,PLT-CBE-01,CBE-L03,CBE-PA03,Conveyor,CON,03,OFFLINE,LOW
